timeOpen,Close,Open,High,Low,volume,Chg.(%)
2021/8/11,45564.30 ,45593.20 ,46736.50 ,45367.90 ,75.43K,(0.00)
2021/8/10,45593.80 ,46281.80 ,46663.40 ,44681.20 ,80.55K,(0.01)
2021/8/9,46284.30 ,43794.90 ,46460.70 ,42824.10 ,117.08K,0.06 
2021/8/8,43792.80 ,44584.90 ,45284.10 ,43314.40 ,105.25K,(0.02)
2021/8/7,44614.20 ,42784.70 ,44697.30 ,42611.00 ,112.84K,0.04 
2021/8/6,42795.40 ,40868.40 ,43253.40 ,39905.40 ,111.93K,0.05 
2021/8/5,40867.20 ,39734.40 ,41366.30 ,37365.40 ,130.60K,0.03 
2021/8/4,39736.90 ,38188.40 ,39956.50 ,37556.00 ,79.22K,0.04 
2021/8/3,38130.30 ,39167.40 ,39766.60 ,37688.20 ,0.26K,(0.03)
2021/8/2,39168.40 ,39869.80 ,40449.00 ,38692.50 ,74.81K,(0.02)
2021/8/1,39878.30 ,41510.00 ,42565.00 ,39556.50 ,80.33K,(0.04)
2021/7/31,41553.70 ,42201.40 ,42285.30 ,41066.40 ,44.65K,(0.02)
2021/7/30,42203.40 ,40001.10 ,42264.40 ,38358.40 ,98.45K,0.06 
2021/7/29,40001.40 ,40009.00 ,40630.70 ,39340.80 ,75.30K,0.00 
2021/7/28,40003.20 ,39450.40 ,40862.20 ,38883.80 ,148.92K,0.01 
2021/7/27,39452.00 ,37294.30 ,39455.90 ,36427.40 ,100.24K,0.06 
2021/7/26,37276.60 ,35392.30 ,40522.90 ,35236.70 ,177.63K,0.05 
2021/7/25,35391.10 ,34392.50 ,35391.10 ,33881.30 ,65.10K,0.05 
2021/7/24,33824.80 ,33600.50 ,33955.00 ,33412.90 ,67.14K,0.01 
2021/7/23,33603.30 ,32297.90 ,33605.60 ,32041.10 ,66.15K,0.04 
2021/7/22,32298.90 ,32131.70 ,32585.40 ,31729.40 ,64.87K,0.01 
2021/7/21,32131.40 ,29794.70 ,32794.60 ,29519.30 ,118.34K,0.08 
2021/7/20,29793.80 ,30835.40 ,31040.80 ,29310.20 ,97.46K,(0.03)
2021/7/19,30837.20 ,31782.90 ,31887.00 ,30478.20 ,77.48K,(0.03)
2021/7/18,31785.40 ,31517.90 ,32408.20 ,31220.60 ,57.01K,0.01 
2021/7/17,31518.60 ,31384.40 ,31914.80 ,31207.80 ,58.06K,0.00 
2021/7/16,31394.00 ,31842.30 ,32239.80 ,31062.20 ,70.48K,(0.01)
2021/7/15,31840.50 ,32820.50 ,33157.00 ,31175.80 ,76.95K,(0.03)
2021/7/14,32820.70 ,32727.80 ,33051.90 ,31611.20 ,69.56K,0.00 
2021/7/13,32728.10 ,33106.10 ,33307.70 ,32259.50 ,60.04K,(0.01)
2021/7/12,33113.00 ,34228.30 ,34598.00 ,32662.80 ,63.24K,(0.03)
2021/7/11,34227.70 ,33510.80 ,34580.60 ,33319.80 ,35.72K,0.02 
2021/7/10,33510.60 ,33797.70 ,34221.00 ,33056.80 ,50.94K,(0.01)
2021/7/9,33797.40 ,32866.30 ,34079.20 ,32367.00 ,67.14K,0.03 
2021/7/8,32866.30 ,33859.40 ,33923.20 ,32146.90 ,108.09K,(0.03)
2021/7/7,33867.80 ,34228.70 ,35036.60 ,33801.30 ,72.03K,(0.01)
2021/7/6,34225.60 ,33688.50 ,35062.00 ,33581.70 ,83.63K,0.02 
2021/7/5,33687.80 ,35297.00 ,35300.50 ,33164.10 ,88.36K,(0.05)
2021/7/4,35298.20 ,34742.80 ,35957.60 ,34740.10 ,56.13K,0.02 
2021/7/3,34742.80 ,33814.20 ,34909.80 ,33363.30 ,55.69K,0.03 
2021/7/2,33813.40 ,33542.20 ,33925.90 ,32734.60 ,78.93K,0.01 
2021/7/1,33543.60 ,35030.70 ,35032.70 ,32839.20 ,27.41K,(0.04)
2021/6/30,35026.90 ,35832.60 ,36089.50 ,34126.60 ,107.07K,(0.02)
2021/6/29,35834.70 ,34477.30 ,36590.30 ,34247.60 ,97.27K,0.04 
2021/6/28,34475.90 ,34682.20 ,35231.20 ,33944.90 ,112.00K,(0.01)
2021/6/27,34678.50 ,32247.10 ,34685.50 ,32041.70 ,148.80K,0.08 
2021/6/26,32243.40 ,31592.10 ,32643.00 ,30206.90 ,156.67K,0.02 
2021/6/25,31594.00 ,34660.50 ,35490.90 ,31337.90 ,193.43K,(0.09)
2021/6/24,34665.80 ,33678.10 ,35249.90 ,32356.70 ,119.25K,0.03 
2021/6/23,33674.30 ,32498.30 ,34784.30 ,31736.50 ,173.34K,0.04 
2021/6/22,32496.40 ,31682.70 ,33272.50 ,28901.80 ,309.65K,0.03 
2021/6/21,31692.00 ,35597.90 ,35708.40 ,31284.10 ,256.87K,(0.11)
2021/6/20,35595.80 ,35510.90 ,36097.90 ,33378.00 ,137.48K,0.00 
2021/6/19,35513.40 ,35770.00 ,36357.30 ,34845.50 ,105.46K,(0.01)
2021/6/18,35749.40 ,38045.50 ,38166.00 ,35198.50 ,102.84K,(0.06)
2021/6/17,38052.00 ,38337.80 ,39529.90 ,37425.30 ,109.58K,(0.01)
2021/6/16,38336.00 ,40148.10 ,40494.40 ,38156.40 ,123.52K,(0.05)
2021/6/15,40156.10 ,40522.50 ,41318.00 ,39589.90 ,117.55K,(0.01)
2021/6/14,40529.40 ,39024.10 ,40970.40 ,38769.90 ,157.35K,0.04 
2021/6/13,39022.90 ,35467.50 ,39321.60 ,34827.00 ,123.32K,0.10 
2021/6/12,35467.50 ,37334.40 ,37437.30 ,34703.30 ,87.73K,(0.05)
2021/6/11,37314.60 ,36654.30 ,37641.10 ,36003.30 ,109.15K,0.02 
2021/6/10,36649.40 ,37375.20 ,38340.80 ,35824.00 ,154.32K,(0.02)
2021/6/9,37332.20 ,33385.50 ,37517.60 ,32428.60 ,209.82K,0.12 
2021/6/8,33382.90 ,33574.60 ,34047.80 ,31158.10 ,193.54K,(0.01)
2021/6/7,33578.00 ,35815.40 ,36754.60 ,33410.10 ,119.50K,(0.06)
2021/6/6,35815.40 ,35518.70 ,36434.00 ,35265.30 ,62.20K,0.01 
2021/6/5,35520.00 ,36841.20 ,37887.60 ,34832.00 ,101.48K,(0.04)
2021/6/4,36851.30 ,39191.40 ,39255.40 ,35659.90 ,127.71K,(0.06)
